Date,Sample,Trade_Signal,IOC,CAR_Z,Signal_Date,Signal_Sample,Signal_IOC,Signal_CAR_Z,Exit_Date,Crosses_Sample_Boundary,Status,Transaction_Cost,Forward_Return_5D,Strategy_Gross_Return,Strategy_Net_Return,MarketModel_Normal_5D,CAPM_Normal_5D,Abnormal_Strategy_MarketModel,Abnormal_Strategy_CAPM
2019-03-07,Train,1.0,54.33889228473353,-1.6307807744573752,2019-03-06,Train,70.99677632935317,-1.548012732227526,2019-03-13,False,Completed,0.002,0.04604689161006892,0.04604689161006892,0.04404689161006892,0.02891548814457634,0.028898922912663716,0.015131403465492577,0.0151479686974052
2019-03-08,Train,1.0,32.924188386402285,-0.1275253654039581,2019-03-07,Train,54.33889228473353,-1.6307807744573752,2019-03-14,False,Completed,0.002,0.04833876233628054,0.04833876233628054,0.04633876233628054,0.04085532386260615,0.04084663432735547,0.005483438473674385,0.005492128008925068
2019-03-19,Train,1.0,45.84735812969626,-1.0783009689195735,2019-03-18,Train,68.31293013736797,-1.3731047323529593,2019-03-25,False,Completed,0.002,-0.03365611541678315,-0.03365611541678315,-0.03565611541678315,-0.011294945421371327,-0.011337954732257072,-0.024361169995411824,-0.02431816068452608
2019-05-24,Train,1.0,27.17852394979253,-1.126890264395754,2019-05-23,Train,30.971682846975657,-1.6231052138802018,2019-05-31,False,Completed,0.002,-0.05284162396743575,-0.05284162396743575,-0.05484162396743575,-0.03003704101972271,-0.030081309669577005,-0.02480458294771304,-0.024760314297858743
2019-07-29,Train,1.0,47.21660815219899,-1.1940031831935356,2019-07-26,Train,75.49174108920882,-1.824090290884772,2019-08-02,False,Completed,0.002,0.027626736135506702,0.027626736135506702,0.0256267361355067,-0.039373477619181085,-0.03939801990780656,0.06500021375468779,0.06502475604331326
2019-07-30,Train,1.0,33.97971426553468,-0.8929861638265232,2019-07-29,Train,47.21660815219899,-1.1940031831935356,2019-08-05,False,Completed,0.002,-0.031598667064526076,-0.031598667064526076,-0.03359866706452608,-0.07912812065145547,-0.07917569485165554,0.04552945358692939,0.045577027787129465
2019-10-02,Train,-1.0,74.6633250326048,1.3216722183766327,2019-10-01,Train,71.72325084596518,1.2651609405766229,2019-10-08,False,Completed,0.002,-0.018962913456312402,0.018962913456312402,0.0169629134563124,-0.01738672064750224,-0.01736374310973543,-0.00042380719118984,-0.00040082965342302934
2019-10-28,Train,-1.0,34.68472878848905,3.1816100994805545,2019-10-25,Train,71.62373821028565,3.006160943965812,2019-11-01,False,Completed,0.002,-0.04516506488156069,0.04516506488156069,0.04316506488156069,0.029268480590568302,0.029335846934470222,0.07243354547212899,0.07250091181603091
2019-10-29,Train,-1.0,48.920827713523366,2.580866344877573,2019-10-28,Train,34.68472878848905,3.1816100994805545,2019-11-04,False,Completed,0.002,-0.0312471435387337,0.0312471435387337,0.0292471435387337,0.026488089301815787,0.026555542246083697,0.05573523284054949,0.055802685784817396
2019-11-27,Train,1.0,74.67746786123503,-1.1119249659224182,2019-11-26,Train,86.71868852446421,-1.304118110248236,2019-12-04,False,Completed,0.002,0.012495447561959194,0.012495447561959194,0.010495447561959192,-0.0052443078315044245,-0.005199003492247778,0.015739755393463617,0.01569445105420697
2019-12-02,Train,1.0,31.34289340570462,-0.0542094585720273,2019-11-29,Train,39.910718504196765,-1.2138557798486875,2019-12-06,False,Completed,0.002,0.018033618623408465,0.018033618623408465,0.016033618623408463,0.009434750217627963,0.009492724564593935,0.0065988684057805,0.006540894058814528
2020-02-03,Train,-1.0,60.92715264179335,4.393341135709827,2020-01-31,Train,26.097193045630508,2.164609727513632,2020-02-07,False,Completed,0.002,0.1498685742204937,-0.1498685742204937,-0.1518685742204937,0.05583739617620731,0.05592663853152602,-0.0960311780442864,-0.0959419356889677
2020-02-06,Train,-1.0,64.81799399868781,2.0636620427311274,2020-02-05,Train,90.5792232702659,3.1242243867243134,2020-02-12,False,Completed,0.002,0.04435827842664053,-0.04435827842664053,-0.04635827842664053,0.027384111257573673,0.027452903416215424,-0.018974167169066858,-0.018905375010425107
2020-02-07,Train,-1.0,19.438483159579214,1.6140037466517472,2020-02-06,Train,64.81799399868781,2.0636620427311274,2020-02-13,False,Completed,0.002,0.0734885142323436,-0.0734885142323436,-0.0754885142323436,0.020730614805116288,0.020794431924118673,-0.05475789942722731,-0.05469408230822492
2020-05-11,Train,-1.0,75.8230731179924,0.1520062264278706,2020-05-08,Train,87.54039841103479,1.2990836532505703,2020-05-15,False,Completed,0.002,-0.024712574409572863,0.024712574409572863,0.02271257440957286,-0.025474943273527617,-0.02530720424194155,-0.002762368863954756,-0.002594629832368689
2020-11-19,Train,-1.0,74.21748028764982,2.215406091663254,2020-11-18,Train,84.07839229099318,1.978125201699629,2020-11-25,False,Completed,0.002,0.17951665596977406,-0.17951665596977406,-0.18151665596977407,0.03360081191668596,0.033820392474262606,-0.1479158440530881,-0.14769626349551146
2020-11-20,Train,-1.0,39.26978789798116,2.4532382290997505,2020-11-19,Train,74.21748028764982,2.215406091663254,2020-11-27,False,Completed,0.002,0.1732328326022854,-0.1732328326022854,-0.1752328326022854,0.03155883249594549,0.03177647976295361,-0.1436740001063399,-0.14345635283933178
2020-11-23,Train,-1.0,49.18199937834827,3.414932535901822,2020-11-20,Train,39.26978789798116,2.4532382290997505,2020-11-30,False,Completed,0.002,0.159289990906621,-0.159289990906621,-0.161289990906621,0.0349807960958648,0.035200928551396116,-0.1263091948107562,-0.12608906235522488
2020-11-27,Train,-1.0,55.10408290159904,1.6835595775801704,2020-11-25,Train,98.00690622071106,1.72745982707254,2020-12-03,False,Completed,0.002,0.03376310218952194,-0.03376310218952194,-0.035763102189521945,0.02345255452394235,0.023663352512345748,-0.012310547665579596,-0.012099749677176197
2020-11-30,Train,-1.0,41.44272086560451,1.494792704682223,2020-11-27,Train,55.10408290159904,1.6835595775801704,2020-12-04,False,Completed,0.002,0.022671399975711548,-0.022671399975711548,-0.02467139997571155,0.032193936538187806,0.03241180968379753,0.007522536562476256,0.007740409708085982
2021-01-13,Train,-1.0,80.30826051106025,1.2777745520643948,2021-01-12,Train,78.64225624163532,1.4952705373466948,2021-01-20,False,Completed,0.002,0.001189030140707148,-0.001189030140707148,-0.003189030140707148,0.02678577689249262,0.02699918760004194,0.02359674675178547,0.02381015745933479
2021-05-13,Train,1.0,85.72614476990525,-1.5233770913996894,2021-05-12,Train,47.64449328355231,-1.2023153253030536,2021-05-19,False,Completed,0.002,-0.04480495010842489,-0.04480495010842489,-0.04680495010842489,0.02673328777944306,0.0269534503255886,-0.07353823788786795,-0.0737584004340135
2021-05-17,Train,1.0,87.43135735547229,-1.0492197862503418,2021-05-14,Train,34.09138306631389,-1.4474689960080729,2021-05-21,False,Completed,0.002,-0.015023596477453549,-0.015023596477453549,-0.01702359647745355,0.0008493378376484007,0.001048689034683692,-0.01787293431510195,-0.018072285512137243
2021-10-28,Train,-1.0,91.29329409430356,2.1759191551788906,2021-10-27,Train,97.37818727787705,2.2485451638804443,2021-11-03,False,Completed,0.002,0.1695796801026519,-0.1695796801026519,-0.1715796801026519,0.04252216681157983,0.04275171871059458,-0.12905751329107207,-0.12882796139205732
2021-10-29,Train,-1.0,80.04698826008023,2.3353256522428514,2021-10-28,Train,91.29329409430356,2.1759191551788906,2021-11-04,False,Completed,0.002,0.14193529850735498,-0.14193529850735498,-0.14393529850735498,0.03471992973713145,0.03494333313236386,-0.10921536877022353,-0.10899196537499112
2021-11-01,Train,-1.0,84.04341672006933,1.866470449517505,2021-10-29,Train,80.04698826008023,2.3353256522428514,2021-11-05,False,Completed,0.002,0.09702871936876956,-0.09702871936876956,-0.09902871936876956,0.037213141569802044,0.03743876164438298,-0.061815577798967514,-0.06158995772438658
2021-11-04,Train,-1.0,54.114669057067054,1.3091098096921854,2021-11-03,Train,66.38838324793389,1.5229206497898655,2021-11-10,False,Completed,0.002,-0.12020329766638804,0.12020329766638804,0.11820329766638804,0.003199975153300727,0.003397971893720264,0.12140327281968877,0.1216012695601083
2021-11-10,Train,1.0,60.11099470217924,-1.53271768891559,2021-11-09,Train,71.5676210209951,-1.8955437934607733,2021-11-16,False,Completed,0.002,0.030512957418182385,0.030512957418182385,0.028512957418182383,0.01257027762066687,0.012775633946148002,0.015942679797515513,0.01573732347203438
2021-11-11,Train,1.0,65.78696283081804,-1.670222976564528,2021-11-10,Train,60.11099470217924,-1.53271768891559,2021-11-17,False,Completed,0.002,0.019719993258385804,0.019719993258385804,0.017719993258385802,0.021184693550733824,0.021397115682659118,-0.003464700292348022,-0.003677122424273316
2022-04-29,Train,1.0,69.97334312792113,-1.1860514399651716,2022-04-28,Train,81.02441569859714,-1.3134462600623569,2022-05-05,False,Completed,0.002,-0.004820470520406683,-0.004820470520406683,-0.006820470520406683,-0.04245830350510815,-0.042372747096894425,0.03563783298470147,0.03555227657648774
2022-05-02,Train,1.0,37.360016697200585,-0.6463045222118506,2022-04-29,Train,69.97334312792113,-1.1860514399651716,2022-05-06,False,Completed,0.002,-0.005868455132209127,-0.005868455132209127,-0.007868455132209127,0.003502490893183996,0.003622398406107674,-0.011370946025393123,-0.011490853538316801
2022-10-06,Train,1.0,63.722447041715725,-2.075312396203416,2022-10-05,Train,89.27092482496347,-2.6004464770490414,2022-10-12,False,Completed,0.002,-0.09787796314268327,-0.09787796314268327,-0.09987796314268327,-0.07462894970891365,-0.07479667543357338,-0.025249013433769618,-0.02508128770910989
2022-10-07,Train,1.0,62.44270406597335,-2.492778856265211,2022-10-06,Train,63.722447041715725,-2.075312396203416,2022-10-13,False,Completed,0.002,-0.06891195282251372,-0.06891195282251372,-0.07091195282251372,-0.023191870165630624,-0.02333915888979987,-0.0477200826568831,-0.04757279393271385
2022-11-08,Train,1.0,75.45498460912461,-2.118070117590943,2022-11-07,Train,77.50078198906895,-1.553515614591573,2022-11-14,False,Completed,0.002,-0.03110414464105482,-0.03110414464105482,-0.03310414464105482,0.06649595985662571,0.06632800302464226,-0.09960010449768053,-0.09943214766569708
2022-11-09,Train,1.0,66.37414939246507,-2.4073795018444613,2022-11-08,Train,75.45498460912461,-2.118070117590943,2022-11-15,False,Completed,0.002,0.016309435794119365,0.016309435794119365,0.014309435794119363,0.07093702459576301,0.07077057628220262,-0.05662758880164365,-0.05646114048808326
2022-11-10,Train,1.0,57.97090360372694,-2.725208717772783,2022-11-09,Train,66.37414939246507,-2.4073795018444613,2022-11-16,False,Completed,0.002,0.05253675332760843,0.05253675332760843,0.05053675332760843,0.09206111715931065,0.09190570527002695,-0.041524363831702216,-0.04136895194241852
2022-11-15,Train,1.0,50.524370035676135,-0.6335543035541742,2022-11-14,Train,57.52479820650276,-1.1805094218033705,2022-11-21,False,Completed,0.002,-0.12086934904382629,-0.12086934904382629,-0.12286934904382629,0.004548396200658722,0.00434671569599665,-0.12741774524448501,-0.12721606473982294
