Date,Pageviews
2019-01-01,5551
2019-01-02,8186
2019-01-03,7904
2019-01-04,6869
2019-01-05,6559
2019-01-06,6675
2019-01-07,8013
2019-01-08,7835
2019-01-09,7670
2019-01-10,7686
2019-01-11,7321
2019-01-12,6370
2019-01-13,6639
2019-01-14,6970
2019-01-15,7039
2019-01-16,6600
2019-01-17,6788
2019-01-18,9558
2019-01-19,7477
2019-01-20,6499
2019-01-21,6513
2019-01-22,6708
2019-01-23,6808
2019-01-24,6990
2019-01-25,6080
2019-01-26,5373
2019-01-27,6278
2019-01-28,7287
2019-01-29,7046
2019-01-30,7423
2019-01-31,8036
2019-02-01,7070
2019-02-02,5968
2019-02-03,5967
2019-02-04,6734
2019-02-05,7004
2019-02-06,7123
2019-02-07,6992
2019-02-08,6589
2019-02-09,5868
2019-02-10,6203
2019-02-11,7067
2019-02-12,6884
2019-02-13,7033
2019-02-14,6254
2019-02-15,5708
2019-02-16,5751
2019-02-17,5909
2019-02-18,6186
2019-02-19,6852
2019-02-20,7217
2019-02-21,6643
2019-02-22,6502
2019-02-23,6205
2019-02-24,6126
2019-02-25,7095
2019-02-26,8310
2019-02-27,7221
2019-02-28,7500
2019-03-01,11218
2019-03-02,9175
2019-03-03,8913
2019-03-04,10543
2019-03-05,9009
2019-03-06,9042
2019-03-07,8428
2019-03-08,7831
2019-03-09,7029
2019-03-10,7477
2019-03-11,8775
2019-03-12,7690
2019-03-13,7474
2019-03-14,8275
2019-03-15,13958
2019-03-16,10774
2019-03-17,9479
2019-03-18,9929
2019-03-19,8852
2019-03-20,7814
2019-03-21,7378
2019-03-22,6959
2019-03-23,6385
2019-03-24,6693
2019-03-25,7432
2019-03-26,7077
2019-03-27,7002
2019-03-28,6852
2019-03-29,6158
2019-03-30,5666
2019-03-31,6243
2019-04-01,7359
2019-04-02,7148
2019-04-03,6656
2019-04-04,8829
2019-04-05,7090
2019-04-06,5889
2019-04-07,6515
2019-04-08,7101
2019-04-09,7055
2019-04-10,6469
2019-04-11,6716
2019-04-12,6947
2019-04-13,6075
2019-04-14,6496
2019-04-15,6689
2019-04-16,6675
2019-04-17,7128
2019-04-18,6131
2019-04-19,5708
2019-04-20,6055
2019-04-21,6448
2019-04-22,8220
2019-04-23,9407
2019-04-24,9150
2019-04-25,9578
2019-04-26,7658
2019-04-27,6725
2019-04-28,6788
2019-04-29,6956
2019-04-30,6709
2019-05-01,7136
2019-05-02,7564
2019-05-03,7355
2019-05-04,6129
2019-05-05,6574
2019-05-06,6777
2019-05-07,6558
2019-05-08,7211
2019-05-09,7081
2019-05-10,7223
2019-05-11,6602
2019-05-12,7052
2019-05-13,6983
2019-05-14,6783
2019-05-15,6735
2019-05-16,6840
2019-05-17,6664
2019-05-18,5945
2019-05-19,6099
2019-05-20,7247
2019-05-21,7920
2019-05-22,8295
2019-05-23,7438
2019-05-24,7384
2019-05-25,6043
2019-05-26,6552
2019-05-27,6763
2019-05-28,6896
2019-05-29,7328
2019-05-30,6482
2019-05-31,6176
2019-06-01,5209
2019-06-02,5835
2019-06-03,6750
2019-06-04,6702
2019-06-05,6141
2019-06-06,5922
2019-06-07,5901
2019-06-08,5356
2019-06-09,5364
2019-06-10,5575
2019-06-11,5881
2019-06-12,6955
2019-06-13,6594
2019-06-14,6320
2019-06-15,5770
2019-06-16,7000
2019-06-17,7825
2019-06-18,6562
2019-06-19,6909
2019-06-20,6519
2019-06-21,5625
2019-06-22,5088
2019-06-23,6463
2019-06-24,6794
2019-06-25,8663
2019-06-26,7116
2019-06-27,5984
2019-06-28,6198
2019-06-29,5160
2019-06-30,5850
2019-07-01,5836
2019-07-02,6237
2019-07-03,7601
2019-07-04,6752
2019-07-05,6785
2019-07-06,6098
2019-07-07,7167
2019-07-08,7175
2019-07-09,6281
2019-07-10,7071
2019-07-11,6224
2019-07-12,6758
2019-07-13,5757
2019-07-14,6557
2019-07-15,6480
2019-07-16,6812
2019-07-17,7587
2019-07-18,7507
2019-07-19,6936
2019-07-20,6605
2019-07-21,7001
2019-07-22,7636
2019-07-23,6983
2019-07-24,7558
2019-07-25,10557
2019-07-26,8406
2019-07-27,7533
2019-07-28,7519
